cartegory,model,name,leather,country,size,explanation,price
bags,FB-01,사진가 가방 ,램스킨,이탈리아,22*17*15,카메라가 흔들림 없이 내부에 딱 맞게 들어갈 수 있도록 제작된 사진가를 위한 카메라 가방.무겁지 않도록 램스킨을 썼으며 카메라에 상처가 나지 않도록 안감은 부드러운 스웨이드,770000 
bags,FB-02,와인백,소가죽,한국,,선물용 와인백.받는 분이 더 기쁠 수 있도록 정성을 다해 ,150000 
bags,FB-05,와인백,닐로,이탈리아,,외출 시 안전하게 와인을 들고 나갈 수 있는 와인백 ,330000 
bags,GB-01,신입사원 가방,소가죽,한국,23*25*15,신입사원을 위한 가방.안감없이 가죽의 자연스러운 질감을 최대한 살림.스트랩은 이탈리아산 부테로 베지터블 레더 ,770000 
bags,GB-02,승소가방 ,닐로,이탈리아,38*30*9,"변호사들이 법정 싸움에서 이길 수 있도록 ""승소가방""이라는 닉네임이 붙은 가방.17인치 노트북과 서류 등을 담을 수 있는 넉넉한 크기.안 쪽에 두 개의 포켓이 부착 ",1650000 
bags,GB-03,스미스 클러치 ,바레니아,프랑스,35*30,"양방향 지퍼를 달아 드로잉, 스케치, 색연필, 줄자, 노트북 등을 모두 넣을 수 있는 금속공예가를 위한 대형 클러치.안감은 캔버스 천 ",990000 
bags,LB-01,데일리 백 ,,,28*35*7,"얇고 부드러운 이탈리안 램스킨, 고트 스킨, 프랑스산 스위프티 가죽에 패브릭 안감.가장자리가 핑킹 처리되어있으며 핸드스티치로 마감한 가볍고 패셔너블한 쇼퍼백.스트랩은 이탈리안 부테로 베지터블 레더 ",660000 
bags,LB-02,승소가방 (레이디),닐로,이탈리아,34*25*7,승소가방의 레이디 버전.옆선이 곡선이라 부드럽고 우아한 선이 특징.전문직 여성이 언제 어디서나 당당하게 나아갈 수 있도록 돕는 가방 ,1320000 
bags,LB-03,마리안나 백 ,바레니아,프랑스,33*26,단정한 레이디를 위한 가방.바레니아 가죽 바디에 닐로 이탈리안 베지터블 가죽 탑이 매치되는 미니멀 디자인이 특징 ,1200000 
bags,LB-04,수녀님 가방 ,스위프트,프랑스,23*30*7,프랑스산 스위프트 가죽에 화려한 플라워 프린팅 안감을 댄 레이디 백.간편하고 귀여운 느낌.,550000 
bags,LB-05,건축가의 가방 1,스위프트,프랑스,38*28*7,"두 분의 세계적인 여성 건축가들이 주문한 가방.랩탑은 물론, 다양한 스케치 등을 넣을 수 있는 넉넉한 내부, 손잡이와 어깨끈이 있어 전문직 여성에 어울리는 가방.아노네이 스위프트 가죽에 안감은 골드 칼라의 램스킨.일하는 여성을 위한 우아하면서도 내부는 화려한 가방 ",1430000 
bags,LB-06,건축가의 가방 2,바레니아+닐로,,38*28*7,"여성 건축가를 위한 가방.랩탑을 넣을 수 있는 넉넉한 내부 공간, 손잡이와 어깨끈이 있어 전문직 여성에 어울리는 가방.바레니아 가죽에 램스킨 안감, 닐로 베지터블 가죽을 탑으로 된 투 톤의 차분하면서도 모던한 느낌의 가방 ",1430000 
bags,LB-07,핸디백 ,램스킨,이탈리아,22*14,양가죽과 스웨이드 안감.가볍고 간편한 손지갑 겸 핸드백.체인 탈부착 가능.얌전한 가정주부가 주문 ,330000 
bags,LB-08,프로페서 가방 ,램스킨,이탈리아,,현직 교수가 주문한 랩탑과 책을 담을 수 있는 가방.자칫 무거워질 수 있어 손으로 받칠 수 있도록 디자인.안감 없음 ,880000 
small leather goods,SLG-01,펜 케이스,클레망스,프랑스,7*17,겉과 안이 모두 프랑스산 끌레망스 가죽.부드러운 가죽과 보강재 사용으로 최대 펜 4~5개 들어가는 크기 ,220000 
small leather goods,SLG-02,펜 케이스,스위프트,프랑스,7*17,겉과 안 가죽을 다른 색상으로 매치.숨겨진 자석 스티치로 매끈한 겉모양이 특징  ,198000 
small leather goods,SLG-03,펜 케이스,,이탈리안,6*19*5,펜과 기타 작은 문구를 함께 넣을 수 있는 지퍼형 가방.베지터블 가죽에 양가죽 안감 ,165000 
small leather goods,SLG-04,카드 지갑 ,부테로,이탈리아,11*7.5,"카드 명함 전용 케이스.상단 1칸, 하단 2칸.뒷면 처리된 부테로 가죽을 사용, 안감없이 자연스러운 질감의 카드케이스.검정, 브라운, 레드, 블루, 노랑 등 다양한 색상 선택 가능 ",165000 
small leather goods,SLG-05,펜 케이스,램스킨,이탈리아,8*12,자투리 가죽으로 만든 펜케이스,90000 
small leather goods,SLG-06,지갑,램스킨,이탈리아,18*12,"자투리 가죽으로 만든 여권, 지폐 지갑 ",150000 
small leather goods,SLG-07,손지갑,바레니아,,,바레니아 가죽으로 만드는 다양한 크기의 파우치 ,110000 
small leather goods,SLG-08,태블릿 케이스 ,부테로,이탈리아,18*25,베지터블 가죽의 자연스러운 질감을 그대로 살린 태블릿 케이스 ,220000 
small leather goods,SLG-09,태블릿 케이스 ,스위프트,프랑스,20*25,스위프트 가죽에 양가죽 또는 스웨이드로 안감을 댄 부드러운 케이스.끈 없이 자석 잠금장치로도 가능 ,330000 
small leather goods,SLG-10,케이블 케이스 ,,,17*11,태블릿이나 컴퓨터 케이들을 담을 수 있는 케이스,77000 
small leather goods,SLG-11,벨트 ,부테로,이탈리아,폭 1.5cm,미니멀 디자인.에이징이 진행될수록 부드러워지고 색상이 더 깊어지고 독특한 개성있는 멋을 연출 ,220000 
small leather goods,SLG-12,미사포 지갑,램스킨,이탈리아,15*10,부드러운 이탈리안 램스킨에 알파벳 프린트.베이지 패브릭 안감을 댄 미사보 케이스 ,88000 
small leather goods,SLG-13,묵주 지갑,,,7.5*7.5,자투리 가죽으로 만든 묵주 케이스.안감은 패브릭 ,44000 
small leather goods,SLG-14,성경 커버 ,닐로,이탈리아,14*19.5,오래된 성경책을 위한 커버 ,150000 
small leather goods,SLG-15,손지갑,스위프트,프랑스,18*11,플라워 패턴의 패브릭 안감이 달린 오렌지색 손지갑,220000 
small leather goods,SLG-16,카드 지갑 ,램스킨,이탈리아,11*7.5,자투리 가죽으로 만든 카드지갑 ,50000 
bags,FB-04,플루트 가방 1,체르마트,프랑스,48*24*9,방수되는 체르마트 가죽과 골드 램스킨 안감. ,700000 
bags,FB-03,플루트 가방 2,스위프트,프랑스,48*24*9,"지퍼로 전체를 열 수 있음.플루트, 피콜로 두 개의 악기 수용.체인 어깨끈으로 우아한 핸드백 분위기 ",700000 
pet accessories,PP-01,반려견 캐리어 ,,,,강아지 이동 가방.양 방향 지퍼가 달려있어 어느 방향에서든 쉽게 열고 닫을 수 있으며 커버 전체를 열 수 있도록 설계.옆 면에 공기순환용 구멍이 있고 내부에 쿠션이 있어 반려견이 여행 중 언제든 가방 안에서 편안하게 쉴 수 있음.여행용 캐리어의 손잡이에 끼울 수 있도록 설계되어 있어 장거리 여행시 안전하고 편리하게 사용 가능 ,1800000 
pet accessories,PP-02,반려견 캐리어 세트 ,카프스킨,이탈리아,,"동일한 가죽으로 제작된 강아지 이동 가방, 견주의 크로스백, 목줄과 리드줄, 배변봉투백의 full set ",2800000 
pet accessories,PP-03,반려견 목줄,부테로,이탈리아,,다양한 색상의 심플한 반려견 목줄 ,110000 
pet accessories,PP-04,플레어 목줄 ,부테로,이탈리아,,girl dog의 화려한 외출을 위한 목줄 ,110000 
pet accessories,PP-05,보우타이 목줄,부테로,이탈리아,,보우타이를 단 boy dog을 위한 목줄 ,110000 
